All Day Event,Start Date,Start Time,End Date,End Time,Subject,X-MICROSOFT-CDO-BUSYSTATUS,Alarm Hours Before 1,Alarm Hours Before 2
FALSE,8/4/2025,7:00 AM,8/4/2025,8:00 AM,New uniform site launches for Preschool/Pre-K,FREE,12,
FALSE,8/11/2025,7:00 AM,8/11/2025,8:00 AM,Hawaiian Shirt Day ,FREE,12,
FALSE,8/8/2025,7:00 AM,8/8/2025,8:00 AM,Last Day of Summer Explorers,FREE,12,
FALSE,8/11/2025,7:00 AM,8/11/2025,8:00 AM,Hawaiian Shirt Day,FREE,12,
FALSE,8/12/2025,7:00 AM,8/12/2025,8:00 AM,Sunglasses Day,FREE,12,
FALSE,8/13/2025,7:00 AM,8/13/2025,8:00 AM,Pajama Day,FREE,12,
FALSE,8/13/2025,7:00 AM,8/13/2025,8:00 AM,Last Day for anyone not returning for the next school year,FREE,12,
TRUE,8/14/2025,,8/15/2025,8:00 AM,8/15 School Closed for Teacher In-Service,OOF,12,
FALSE,8/15/2025,5:00 PM,8/15/2025,6:00 PM,Meet the Teacher Night 5-6pm,FREE,12,
FALSE,8/18/2025,7:00 AM,8/18/2025,8:00 AM,First Day of School 2025-2026 School Year!,FREE,12,
FALSE,8/29/2025,7:00 AM,8/29/2025,8:00 AM,College Colors Day ,FREE,12,
FALSE,8/29/2025,7:00 AM,8/29/2025,8:00 AM,Cookie Friday,FREE,12,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
